(0.006819390127826604,2.3250081235902304e-19)
(-2.8600399008207114e-06,-6.0996555614293494e-06)
(5.743244051058851e-05,4.687930209362259e-06)
(-2.870947854406554e-06,-2.85120397550799e-06)
(-1.1322188109034554e-05,5.369789570921713e-06)
(-0.00018558046383138944,2.6862005250533684e-20)
(1.1322188109035021e-05,5.3697895709180066e-06)
(-2.870947854405395e-06,2.8512039755028738e-06)
(-5.7432440510584425e-05,4.687930209359527e-06)
(-2.8600399008276694e-06,6.09965556142947e-06)
(-1.070124673938545e-05,7.82007846374243e-06)
(6.680381926399039e-06,1.3519520418021905e-06)
(6.495997453603249e-06,-2.3679555990970072e-05)
(5.633996923284247e-07,-4.0278437886017185e-06)
(1.3876656303325285e-06,4.138286147813852e-06)
(1.6299722472481825e-05,-1.4231684383272597e-05)
(-9.248212037323265e-06,4.3960963126542777e-07)
(1.0486322153458982e-05,-3.2555279749057624e-06)
(-2.8500122615534413e-06,5.923182372594745e-06)
(7.994500233115332e-06,-9.264367733065066e-06)
(6.209188602067968e-06,-9.46090197734375e-06)
(-1.2316981122728553e-06,-3.3704034972978827e-06)
(-0.0007571982968724227,-8.532835093854154e-19)
(1.231698112268547e-06,-3.370403497300286e-06)
(6.2091886020665714e-06,9.460901977346868e-06)
(-7.99450023311573e-06,-9.264367733064134e-06)
(-2.850012261554661e-06,-5.923182372593688e-06)
(-1.0486322153456649e-05,-3.2555279749086902e-06)
(-9.248212037323985e-06,-4.3960963126562613e-07)
(-1.6299722472485233e-05,-1.4231684383270726e-05)
(1.3876656303315595e-06,-4.138286147815126e-06)
(-5.63399692329907e-07,-4.027843788600366e-06)
(6.495997453601754e-06,2.367955599097161e-05)
(-6.6803819263956435e-06,1.3519520418043748e-06)
(-1.0701246739385523e-05,-7.820078463743181e-06)
(-0.00010323640885943658,3.0608174318909157e-05)
(1.3734980465246238e-05,1.7726889718145003e-05)
(-1.8653584478428925e-05,7.649681312024127e-06)
(-9.729245274674159e-05,-7.729415265059434e-05)
(-1.0638451864853524e-05,3.632379098758273e-05)
(1.1182586994038934e-05,9.607247130890089e-06)
(-2.6543627509401405e-05,9.205448524329406e-05)
(-0.0001508368284025024,0.00014253754586074138)
(2.7109009665354536e-05,6.790169853543201e-06)
(-4.290483187609569e-05,4.7276967973567545e-05)
(-0.0002858222726998165,-7.251517560042162e-05)
(3.4821833383474455e-06,6.546724932016848e-05)
(3.29897070956966e-05,6.994610085829371e-06)
(3.604103330216489e-05,0.0002026201074648407)
(-0.00013991400143613172,0.0003066974732030078)
(4.9854400942651984e-05,1.5063855232989665e-05)
(-5.354786302412042e-05,9.304395701333044e-05)
(-0.0004625990908618844,-1.5095948679900331e-05)
(4.5463298404049444e-05,9.176501465783605e-05)
(7.612129139925295e-05,-3.303426915602446e-05)
(0.00016550480623109327,0.0002846748546644127)
(-0.0026627004352724353,0.00503944172828323)
(0.0009520796858018322,0.0001855196448842853)
(-0.0007807325642015386,0.0015837777398356638)
(-0.008147197228146013,-1.6305063256035788e-18)
(0.0007807325642015433,0.0015837777398356586)
(0.0009520796858018301,-0.00018551964488428466)
(0.002662700435272435,0.005039441728283239)
(0.0001655048062310997,-0.00028467485466440967)
(-7.612129139924783e-05,-3.303426915602149e-05)
(4.546329840404679e-05,-9.176501465783736e-05)
(0.00046259909086187977,-1.509594867990283e-05)
(-5.354786302411683e-05,-9.30439570133314e-05)
(-4.985440094265164e-05,1.5063855232990915e-05)
(-0.0001399140014361327,-0.00030669747320300644)
(-3.6041033302169734e-05,0.00020262010746483893)
(3.298970709569674e-05,-6.994610085830726e-06)
(-3.4821833383456777e-06,6.546724932017024e-05)
